Name,Author,User Rating,Review,Price,Year,Genre,Reviews
our fault,M.Ron,5.0,5.0,12.0,2022,Fiction,
,,0.0,0.0,0.0,2009,Non Fiction,
"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.6,,17.0,2009,Non Fiction,5013.0
Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,4.6,,5.0,2009,Non Fiction,798.0
"Breaking Dawn (The Twilight Saga, Book 4)",Stephenie Meyer,4.6,,13.0,2009,Fiction,9769.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,,14.0,2009,Non Fiction,1542.0
Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,4.6,,4.0,2009,Fiction,1541.0
Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney,4.8,,15.0,2009,Fiction,3837.0
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…",Zhi Gang Sha,4.6,,6.0,2009,Non Fiction,37.0
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)",Jeff Kinney,4.8,,12.0,2009,Fiction,3181.0
Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,4.5,,1.0,2009,Non Fiction,720.0
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!",David Zinczenko,4.3,,14.0,2009,Non Fiction,956.0
Eclipse (Twilight Sagas),Stephenie Meyer,4.7,,7.0,2009,Fiction,5505.0
Eclipse (Twilight),Stephenie Meyer,4.7,,18.0,2009,Fiction,5505.0
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine",Glenn Beck,4.6,,11.0,2009,Non Fiction,1365.0
Going Rogue: An American Life,Sarah Palin,4.6,,6.0,2009,Non Fiction,1636.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,,14.0,2009,Non Fiction,3457.0
Have a Little Faith: A True Story,Mitch Albom,4.8,,4.0,2009,Non Fiction,1930.0
"I, Alex Cross",James Patterson,4.6,,7.0,2009,Fiction,1320.0
Liberty and Tyranny: A Conservative Manifesto,Mark R. Levin,4.8,,15.0,2009,Non Fiction,3828.0
"Mastering the Art of French Cooking, Vol. 2",Julia Child,4.8,,27.0,2009,Non Fiction,2926.0
New Moon (The Twilight Saga),Stephenie Meyer,4.6,,10.0,2009,Fiction,5680.0
Olive Kitteridge,Elizabeth Strout,4.2,,12.0,2009,Fiction,4519.0
Outliers: The Story of Success,Malcolm Gladwell,4.6,,20.0,2009,Non Fiction,10426.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,,46.0,2009,Non Fiction,8580.0
Sookie Stackhouse,Charlaine Harris,4.7,,25.0,2009,Fiction,973.0
StrengthsFinder 2.0,Gallup,4.0,,17.0,2009,Non Fiction,5069.0
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance",Steven D. Levitt,4.5,,18.0,2009,Non Fiction,1583.0
The 5000 Year Leap,W. Cleon Skousen,4.8,,12.0,2009,Non Fiction,1680.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,,24.0,2009,Non Fiction,9325.0
The Book of Basketball: The NBA According to The Sports Guy,Bill Simmons,4.7,,53.0,2009,Non Fiction,858.0
The Elegance of the Hedgehog,Muriel Barbery,4.0,,11.0,2009,Fiction,1859.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,,6.0,2009,Non Fiction,3207.0
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,4.6,,9.0,2009,Non Fiction,803.0
The Girl Who Played with Fire (Millennium),Stieg Larsson,4.7,,16.0,2009,Fiction,7251.0
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,,2.0,2009,Fiction,10559.0
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.7,,10.0,2009,Fiction,8587.0
The Help,Kathryn Stockett,4.8,,6.0,2009,Fiction,13871.0
The Last Lecture,Randy Pausch,4.7,,9.0,2009,Non Fiction,4028.0
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,,7.0,2009,Fiction,4628.0
The Lost Symbol,Dan Brown,4.2,,19.0,2009,Fiction,8747.0
The Love Dare,Stephen Kendrick,4.8,,13.0,2009,Non Fiction,1655.0
The Shack: Where Tragedy Confronts Eternity,William P. Young,4.6,,8.0,2009,Fiction,19720.0
The Time Traveler's Wife,Audrey Niffenegger,4.4,,6.0,2009,Fiction,3759.0
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,4.4,,9.0,2009,Non Fiction,3503.0
The Twilight Saga Collection,Stephenie Meyer,4.7,,82.0,2009,Fiction,3801.0
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,,11.0,2009,Non Fiction,3319.0
True Compass: A Memoir,Edward M. Kennedy,4.5,,15.0,2009,Non Fiction,438.0
"Twilight (The Twilight Saga, Book 1)",Stephenie Meyer,4.7,,9.0,2009,Fiction,11676.0
Under the Dome: A Novel,Stephen King,4.3,,20.0,2009,Fiction,6740.0
Watchmen,Alan Moore,4.8,,42.0,2009,Fiction,3829.0
Where the Wild Things Are,Maurice Sendak,4.8,,13.0,2009,Fiction,9967.0
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,,2.0,2010,Non Fiction,460.0
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,,14.0,2010,Non Fiction,491.0
"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.7,,21.0,2010,Non Fiction,615.0
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,,8.0,2010,Non Fiction,471.0
Catching Fire (The Hunger Games),Suzanne Collins,4.7,,11.0,2010,Fiction,22614.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,,14.0,2010,Non Fiction,1542.0
Cutting for Stone,Abraham Verghese,4.6,,11.0,2010,Fiction,4866.0
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,,8.0,2010,Fiction,1924.0
Decision Points,George W. Bush,4.6,,17.0,2010,Non Fiction,2137.0
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,,15.0,2010,Non Fiction,1651.0
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,,16.0,2010,Non Fiction,2525.0
Food Rules: An Eater's Manual,Michael Pollan,4.4,,9.0,2010,Non Fiction,1555.0
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,,9.0,2010,Non Fiction,1215.0
George Washington's Sacred Fire,Peter A. Lillback,4.5,,20.0,2010,Non Fiction,408.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,,14.0,2010,Non Fiction,3457.0
Life,Keith Richards,4.5,,18.0,2010,Non Fiction,2752.0
Little Bee: A Novel,Chris Cleave,4.1,,10.0,2010,Fiction,1467.0
Mockingjay (The Hunger Games),Suzanne Collins,4.5,,8.0,2010,Fiction,26741.0
Outliers: The Story of Success,Malcolm Gladwell,4.6,,20.0,2010,Non Fiction,10426.0
Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,,2.0,2010,Fiction,548.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,,46.0,2010,Non Fiction,8580.0
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,,9.0,2010,Non Fiction,1985.0
Sarah's Key,Tatiana de Rosnay,4.6,,10.0,2010,Fiction,3619.0
Sh*t My Dad Says,Justin Halpern,4.7,,11.0,2010,Non Fiction,1265.0
StrengthsFinder 2.0,Gallup,4.0,,17.0,2010,Non Fiction,5069.0
Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,,13.0,2010,Non Fiction,1907.0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,,20.0,2010,Non Fiction,637.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,,28.0,2010,Non Fiction,3477.0
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,,10.0,2010,Fiction,11813.0
The Big Short: Inside the Doomsday Machine,Michael Lewis,4.7,,17.0,2010,Non Fiction,3536.0
The Confession: A Novel,John Grisham,4.3,,13.0,2010,Fiction,3523.0
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,,11.0,2010,Non Fiction,440.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,,6.0,2010,Non Fiction,3207.0
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,,14.0,2010,Fiction,7747.0
The Girl Who Played with Fire (Millennium Series),Stieg Larsson,4.7,,9.0,2010,Fiction,7251.0
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,,2.0,2010,Fiction,10559.0
The Help,Kathryn Stockett,4.8,,6.0,2010,Fiction,13871.0
The Hunger Games,Suzanne Collins,4.7,,14.0,2010,Fiction,32122.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,,13.0,2010,Non Fiction,9289.0
"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,,7.0,2010,Fiction,4628.0
"The Lost Hero (Heroes of Olympus, Book 1)",Rick Riordan,4.8,,14.0,2010,Fiction,4506.0
The Official SAT Study Guide,The College Board,4.4,,40.0,2010,Non Fiction,1201.0
"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.6,,12.0,2010,Fiction,2186.0
"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.6,,14.0,2010,Non Fiction,1204.0
The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,4.6,,0.0,2010,Fiction,2122.0
"The Ugly Truth (Diary of a Wimpy Kid, Book 5)",Jeff Kinney,4.8,,12.0,2010,Fiction,3796.0
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,,11.0,2010,Non Fiction,3319.0
"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,,21.0,2010,Fiction,2282.0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,,16.0,2010,Non Fiction,29673.0
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,,11.0,2010,Non Fiction,1302.0
11/22/63: A Novel,Stephen King,4.6,,22.0,2011,Fiction,2052.0
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,,11.0,2011,Fiction,12643.0
A Stolen Life: A Memoir,Jaycee Dugard,4.6,,32.0,2011,Non Fiction,4149.0
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,,0.0,2011,Fiction,4505.0
Catching Fire (The Hunger Games),Suzanne Collins,4.7,,11.0,2011,Fiction,22614.0
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.7,,14.0,2011,Non Fiction,1542.0
Cutting for Stone,Abraham Verghese,4.6,,11.0,2011,Fiction,4866.0
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,4.2,,4.0,2011,Fiction,2094.0
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,,9.0,2011,Non Fiction,6346.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,,5.0,2011,Fiction,5594.0
Go the F**k to Sleep,Adam Mansbach,4.8,,9.0,2011,Fiction,9568.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,,14.0,2011,Non Fiction,3457.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,,10.0,2011,Non Fiction,15779.0
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Eric Larson,4.4,,21.0,2011,Non Fiction,4571.0
Inheritance: Book IV (Inheritance Cycle),Christopher Paolini,4.6,,20.0,2011,Fiction,5299.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,,8.0,2011,Non Fiction,19576.0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,,10.0,2011,Non Fiction,9342.0
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived",Rob Bell,4.2,,13.0,2011,Non Fiction,1649.0
Mockingjay (The Hunger Games),Suzanne Collins,4.5,,8.0,2011,Fiction,26741.0
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,,13.0,2011,Non Fiction,3163.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,,46.0,2011,Non Fiction,8580.0
Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,,9.0,2011,Non Fiction,1985.0
Steve Jobs,Walter Isaacson,4.6,,20.0,2011,Non Fiction,7827.0
StrengthsFinder 2.0,Gallup,4.0,,17.0,2011,Non Fiction,5069.0
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,,20.0,2011,Non Fiction,637.0
The 17 Day Diet: A Doctor's Plan Designed for Rapid Results,Mike Moreno,4.3,,22.0,2011,Non Fiction,2314.0
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman",Timothy Ferriss,4.3,,21.0,2011,Non Fiction,4587.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,,28.0,2011,Non Fiction,3477.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,,24.0,2011,Non Fiction,9325.0
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,,10.0,2011,Fiction,11813.0
The China Study: The Most Comprehensive Study of Nutrition Ever Conducted And the Startling Implications for Diet…,Thomas Campbell,4.7,,21.0,2011,Non Fiction,4633.0
"The Dukan Diet: 2 Steps to Lose the Weight, 2 Steps to Keep It Off Forever",Pierre Dukan,4.1,,15.0,2011,Non Fiction,2023.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,,6.0,2011,Non Fiction,3207.0
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,,14.0,2011,Fiction,7747.0
The Help,Kathryn Stockett,4.8,,8.0,2011,Fiction,13871.0
The Help,Kathryn Stockett,4.8,,7.0,2011,Fiction,13871.0
The Hunger Games (Book 1),Suzanne Collins,4.7,,8.0,2011,Fiction,32122.0
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,,30.0,2011,Fiction,16949.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,,9.0,2011,Non Fiction,9289.0
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,,13.0,2011,Non Fiction,4247.0
The Litigators,John Grisham,4.4,,18.0,2011,Fiction,6222.0
The Official SAT Study Guide,The College Board,4.4,,40.0,2011,Non Fiction,1201.0
The Paris Wife: A Novel,Paula McLain,4.3,,16.0,2011,Fiction,3759.0
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,,10.0,2011,Fiction,4290.0
"The Throne of Fire (The Kane Chronicles, Book 2)",Rick Riordan,4.7,,10.0,2011,Fiction,1463.0
"Thinking, Fast and Slow",Daniel Kahneman,4.6,,19.0,2011,Non Fiction,11034.0
Tina Fey: Bossypants,Tina Fey,4.3,,12.0,2011,Non Fiction,5977.0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,,16.0,2011,Non Fiction,29673.0
Water for Elephants: A Novel,Sara Gruen,4.5,,12.0,2011,Fiction,8958.0
What to Expect When You're Expecting,Heidi Murkoff,4.4,,9.0,2011,Non Fiction,3341.0
Barefoot Contessa Foolproof: Recipes You Can Trust: A Cookbook,Ina Garten,4.8,,24.0,2012,Non Fiction,1296.0
Catching Fire (The Hunger Games),Suzanne Collins,4.7,,11.0,2012,Fiction,22614.0
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition",Joel Fuhrman MD,4.5,,9.0,2012,Non Fiction,6346.0
Fifty Shades Darker,E L James,4.4,,7.0,2012,Fiction,23631.0
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,,11.0,2012,Fiction,20262.0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,,14.0,2012,Fiction,47265.0
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,,32.0,2012,Fiction,13964.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,,5.0,2012,Fiction,5594.0
Gone Girl,Gillian Flynn,4.0,,10.0,2012,Fiction,57271.0
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,,14.0,2012,Non Fiction,3457.0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,,7.0,2012,Fiction,7038.0
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,,10.0,2012,Non Fiction,15779.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,,8.0,2012,Non Fiction,19576.0
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,,25.0,2012,Non Fiction,8634.0
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,,10.0,2012,Non Fiction,9342.0
Mockingjay (The Hunger Games),Suzanne Collins,4.5,,8.0,2012,Fiction,26741.0
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,,14.0,2012,Non Fiction,8093.0
"Oh, the Places You'll Go!",Dr. Seuss,4.9,,8.0,2012,Fiction,21834.0
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,,13.0,2012,Non Fiction,3163.0
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,,10.0,2012,Non Fiction,13616.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,,46.0,2012,Non Fiction,8580.0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,,20.0,2012,Non Fiction,10009.0
Steve Jobs,Walter Isaacson,4.6,,20.0,2012,Non Fiction,7827.0
StrengthsFinder 2.0,Gallup,4.0,,17.0,2012,Non Fiction,5069.0
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,,28.0,2012,Non Fiction,3477.0
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,,24.0,2012,Non Fiction,9325.0
The Amateur,Edward Klein,4.6,,9.0,2012,Non Fiction,2580.0
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,,14.0,2012,Non Fiction,1789.0
The Casual Vacancy,J.K. Rowling,3.3,,12.0,2012,Fiction,9372.0
The Fault in Our Stars,John Green,4.7,,13.0,2012,Fiction,50482.0
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,,6.0,2012,Non Fiction,3207.0
The Great Gatsby,F. Scott Fitzgerald,4.4,,7.0,2012,Fiction,11616.0
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,,13.0,2012,Fiction,11098.0
The Hunger Games (Book 1),Suzanne Collins,4.7,,8.0,2012,Fiction,32122.0
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,,30.0,2012,Fiction,16949.0
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,,9.0,2012,Non Fiction,9289.0
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,,13.0,2012,Non Fiction,4247.0
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,,10.0,2012,Fiction,6247.0
The Official SAT Study Guide,The College Board,4.4,,40.0,2012,Non Fiction,1201.0
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,,21.0,2012,Non Fiction,2876.0
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,,21.0,2012,Non Fiction,10795.0
The Racketeer,John Grisham,4.3,,18.0,2012,Fiction,14493.0
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,,12.0,2012,Fiction,2091.0
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,,7.0,2012,Fiction,6377.0
"Thinking, Fast and Slow",Daniel Kahneman,4.6,,19.0,2012,Non Fiction,11034.0
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,,23.0,2012,Non Fiction,1904.0
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,,16.0,2012,Non Fiction,29673.0
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,,6.0,2012,Non Fiction,7497.0
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,,18.0,2012,Non Fiction,17044.0
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,,15.0,2012,Fiction,10760.0
Allegiant,Veronica Roth,3.9,,13.0,2013,Fiction,6310.0
And the Mountains Echoed,Khaled Hosseini,4.3,,13.0,2013,Fiction,12159.0
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,,10.0,2013,Non Fiction,1329.0
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,,13.0,2013,Non Fiction,4642.0
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,,105.0,2013,Non Fiction,6679.0
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,,0.0,2013,Fiction,6812.0
Divergent,Veronica Roth,4.6,,15.0,2013,Fiction,27098.0
Doctor Sleep: A Novel,Stephen King,4.7,,13.0,2013,Fiction,15845.0
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,,14.0,2013,Fiction,47265.0
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,,5.0,2013,Fiction,5594.0
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,,16.0,2013,Non Fiction,4799.0
Gone Girl,Gillian Flynn,4.0,,10.0,2013,Fiction,57271.0
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,,7.0,2013,Fiction,7038.0
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,,11.0,2013,Non Fiction,4148.0
Humans of New York,Brandon Stanton,4.8,,15.0,2013,Non Fiction,3490.0
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,,17.0,2013,Non Fiction,4896.0
Inferno,Dan Brown,4.1,,14.0,2013,Fiction,29651.0
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,,8.0,2013,Non Fiction,19576.0
Joyland (Hard Case Crime),Stephen King,4.5,,12.0,2013,Fiction,4748.0
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,,12.0,2013,Non Fiction,11391.0
Knock-Knock Jokes for Kids,Rob Elliott,4.5,,4.0,2013,Non Fiction,3673.0
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,,4.0,2013,Non Fiction,6990.0
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,,13.0,2013,Non Fiction,6132.0
"Oh, the Places You'll Go!",Dr. Seuss,4.9,,8.0,2013,Fiction,21834.0
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,,10.0,2013,Non Fiction,13616.0
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,,46.0,2013,Non Fiction,8580.0
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,,7.0,2013,Non Fiction,10009.0
Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1),Rush Limbaugh,4.9,,12.0,2013,Fiction,7150.0
Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes,Ian K. Smith M.D.,4.1,,6.0,2013,Non Fiction,2272.0
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,4.6,,17.0,2013,Non Fiction,220.0
StrengthsFinder 2.0,Gallup,4.0,,17.0,2013,Non Fiction,5069.0
Sycamore Row (Jake Brigance),John Grisham,4.5,,18.0,2013,Fiction,23114.0
